Block number, timestamp, reserve A, reserve B, price
7752636,1663086485,3503417.606778,70300093.286751,20.066147167480878
7752638,1663086535,3504420.094603,70280043.286751,20.054685622590206
7752655,1663086846,3499455.730326,70380043.286751,20.11171128036947
7752663,1663086978,3499605.730326,70377035.708859,20.109989848000147
7752667,1663087039,3500005.730326,70369016.758713,20.105400442346888
7752673,1663087199,3499011.759919,70389066.758713,20.116842008082436
7752683,1663087416,3499061.759919,70388063.948426,20.11626795351432
7752715,1663088023,3498905.605226,70391214.79081,20.118066256395423
7752746,1663088661,3479194.300469,70791214.79081,20.347013899530488
7752782,1663089250,3479370.245196,70787645.76081,20.344959223166086
7752859,1663090711,3478880.229896,70797646.508581,20.350699601606426
7752909,1663092094,3478733.263271,70800646.508581,20.35242174388738
7752940,1663092822,3476959.685104,70764549.897721,20.35242174388466
7752949,1663092987,3479075.84672,70721636.131075,20.32770748523631
7753016,1663094047,3479130.84672,70720521.478804,20.327065751343262
7753038,1663094388,3480117.996341,70700521.478804,20.31555296491056
7753056,1663094778,3478646.3479,70730521.478804,20.33277154531757
7753061,1663094880,3478718.3479,70729061.94125,20.331931150432762
7753099,1663095722,3478818.3479,70727034.90581,20.330764021784756
7753106,1663095829,3481039.815909,70682034.90581,20.304862524921415
7753110,1663095890,3481339.815909,70675962.243208,20.301368432990518
7753131,1663096208,3479867.139446,70705962.243208,20.318580971589764
7753155,1663096540,3474741.479599,70601816.108556,20.318580971584613
7753161,1663096686,3476717.164049,70561816.108556,20.295529598496127
7753209,1663097522,3481842.823896,70458252.435326,20.235908396487265
7753230,1663097935,3481821.879998,70457828.616508,20.235908396482497
7753378,1663100925,3477884.828582,70537828.616508,20.281818430792494
7753421,1663102001,3477904.828582,70537424.199368,20.28158551656725
7753528,1663104181,3477954.828582,70536413.176822,20.281003248561586
7753537,1663104379,3478004.679299,70537424.199375,20.281003248561465
7753713,1663107739,3479459.679299,70508016.131988,20.26407046803115
7753781,1663109221,3479509.679299,70507005.982548,20.26348896283361
7753804,1663109566,3479609.679299,70504985.770585,20.262326027552863
7753870,1663111058,3480109.679299,70494886.447922,20.256512852813827
7753873,1663111135,3486258.164147,70370931.566494,20.185232490868042
7753889,1663111429,3486258.164147,70394919.211403,20.192113118687203
7753926,1663112355,3484806.724358,70424327.27879,20.2089621747284
