,user,COLLATERAL_ETH,NO_CF_COLLATERAL_ETH,COLLATERAL_VST,NO_CF_COLLATERAL_VST,user_collateral,user_no_cf_collateral,DEBT_VST,DEBT_ETH,user_debt,COLLATERAL_gOHM,NO_CF_COLLATERAL_gOHM,DEBT_gOHM,COLLATERAL_renBTC,NO_CF_COLLATERAL_renBTC,DEBT_renBTC,COLLATERAL_GMX,NO_CF_COLLATERAL_GMX,DEBT_GMX,COLLATERAL_DPX,NO_CF_COLLATERAL_DPX,DEBT_DPX
0,0xBA060fff709bdc9a1c5130dDd36d691BB01E11eb_0x0000000000000000000000000000000000000000,6745.545454545455,7420.1,0.0,0.0,6745.545454545455,7420.1,550.0,0.0,550.0,,,,,,,,,,,,
1,0x5af62EcD8C17D64eBb2477D573743D30A1D3969e_0x0000000000000000000000000000000000000000,5396.436363636363,5936.08,0.0,0.0,5396.436363636363,5936.08,1000.0,0.0,1000.0,,,,,,,,,,,,
2,0x895eee677EEdFa433f63bfCCEA8b94a999e0bCBb_0x0000000000000000000000000000000000000000,1187216.0,1305937.6,0.0,0.0,1187216.0,1305937.6,244627.0,0.0,244627.0,,,,,,,,,,,,
3,0xeea30DFEAB54a05434967F4540CDdCD61dCA2D21_0x0000000000000000000000000000000000000000,22260.3,24486.329999999998,0.0,0.0,22260.3,24486.329999999998,5000.0,0.0,5000.0,,,,,,,,,,,,
4,0xa679B8eBce3adad9989Cba4b7016f5b5F31A2752_0x0000000000000000000000000000000000000000,22934.854545454546,25228.34,0.0,0.0,22934.854545454546,25228.34,5157.0,0.0,5157.0,,,,,,,,,,,,
5,0xeEEC0e4927704ab3BBE5df7F4EfFa818b43665a3_0x0000000000000000000000000000000000000000,2023.663636363636,2226.0299999999997,0.0,0.0,2023.663636363636,2226.0299999999997,457.1938825431708,0.0,457.1938825431708,,,,,,,,,,,,
6,0x7273855cdb7A023274106517265bA2c7832401fc_0x0000000000000000000000000000000000000000,78383.23818181819,86221.562,0.0,0.0,78383.23818181819,86221.562,20015.09,0.0,20015.09,,,,,,,,,,,,
7,0x3dC606cE9cCA12196917A3267A8AE7008E018958_0x0000000000000000000000000000000000000000,78248.32727272727,86073.16,0.0,0.0,78248.32727272727,86073.16,20130.506576502994,0.0,20130.506576502994,,,,,,,,,,,,
8,0xDa90d355b1bd4d01F6124fEE7669090d4cbD5778_0x0000000000000000000000000000000000000000,2023.663636363636,2226.0299999999997,0.0,0.0,2023.663636363636,2226.0299999999997,532.5043963782708,0.0,532.5043963782708,,,,,,,,,,,,
9,0x5908029c5851c01185Be6D8d42888C76950C6895_0x0000000000000000000000000000000000000000,80946.54545454546,89041.2,0.0,0.0,80946.54545454546,89041.2,22651.999999999996,0.0,22651.999999999996,,,,,,,,,,,,
